Trace length, % Trace in CG, Trace_len/CG_size
70,0.014285714,0.734042553
114,0.026315789,0.357594937
66,0.015151515,0.347593583
74,0,1.196721311
36,0,0.231788079
45,0,44
7,0.142857143,0.109090909
24,0.083333333,0.353846154
17,0.058823529,0.258064516
118,0.016949153,1.647887324
17,0.176470588,0.231884058
4,0.25,0.428571429
25,0.08,0.315789474
21,0.19047619,0.444444444
20,0.15,0.153225806
244,0.008196721,0.671270718
33,0,0.231884058
27,0,0.481481481
6,0.333333333,0.5
22,0.045454545,0.28
21,0,0.170940171
33,0.060606061,0.237037037
88,0,0.356557377
3,0.333333333,1
25,0,0.307692308
23,0,0.709677419
33,0.03030303,0.299065421
38,0,0.270072993
43,0,0.362068966
41,0,0.148148148
37,0,36
8,0.125,0.132075472
84,0.011904762,0.93258427
23,0,0.314285714
91,0,0.365853659
8,0.375,0.051094891
31,0.032258065,0.375
30,0,0.119834711
29,0,0.345679012
4,0,0.375
4,0,0.375
7,0,0.375
126,0.007936508,2.777777778
55,0.036363636,0.556701031
21,0.047619048,0.277777778
4,0,0.078947368
15,0,0.08045977
23,0.043478261,0.183333333
49,0.020408163,0.279069767
24,0.041666667,0.095833333
56,0,0.964912281
51,0,0.704225352
23,0.130434783,0.181818182
20,0,0.475
55,0.090909091,0.173633441
22,0.045454545,1.4
26,0,0.625
9,0,0.216216216
23,0.086956522,0.431372549
55,0,0.830769231
27,0.037037037,0.337662338
23,0.086956522,0.666666667
31,0,0.410958904
138,0.014492754,0.86163522
28,0,0.409090909
7,0.142857143,0.272727273
6,0.333333333,0.2
6,0,0.096153846
8,0.125,0.25
35,0,1
7,0.285714286,0.545454545
44,0,0.323308271
27,0,0.393939394
117,0.025641026,0.878787879
73,0.082191781,0.236842105
14,0,0.185714286
11,0,0.1
23,0.304347826,0.41509434
33,0.121212121,0.32
65,0.015384615,4.923076923
59,0,1.611111111
57,0,1.555555556
26,0,0.3125
26,0,0.373134328
56,0.035714286,0.639534884
158,0,2.453125
6,0.166666667,0.0390625
19,0.105263158,0.202247191
9,0,0.210526316
116,0.00862069,0.392491468
19,0.052631579,0.140625
11,0,0.37037037
48,0.020833333,0.618421053
47,0.063829787,0.172932331
48,0.020833333,0.618421053
22,0.090909091,0.344262295
6,0.166666667,0.0390625
26,0,0.263157895
48,0,47
49,0,0.340425532
11,0.272727273,0.333333333
14,0.071428571,0.270833333
53,0,2.260869565
20,0,0.327586207
3,0.333333333,0.333333333
6,0.166666667,0.131578947
60,0,11.8
13,0.153846154,0.048582996
47,0.021276596,0.666666667
23,0,0.647058824
158,0,2.453125
70,0,23
9,0,0.727272727
7,0.285714286,0.15
85,0.011764706,0.583333333
8,0,0.122807018
119,0.016806723,0.861313869
18,0,0.253731343
52,0,17
25,0.04,0.192
20,0,0.231707317
24,0,0.793103448
22,0,2.333333333
15,0.066666667,0.225806452
22,0.045454545,0.291666667
81,0.024691358,0.192771084
35,0.057142857,0.309090909
26,0.038461538,0.284090909
27,0.037037037,0.371428571
23,0,0.153846154
13,0.076923077,0.285714286
97,0.010309278,1.627118644
135,0.014814815,0.462068966
20,0.05,0.452380952
9,0,0.156862745
55,0,1.862068966
7,0,0.25
56,0,0.964912281
46,0.065217391,0.308219178
91,0,0.3515625
118,0.008474576,1.314606742
50,0.02,0.563218391
