Trace length, % Trace in CG, Trace_len/CG_size
6,0.166666667,0.555555556
10,0.1,0.18
4,0.25,1.5
5,0,0.285714286
15,0,0.7
31,0.032258065,0.297029703
4,0.5,0.333333333
10,0,0.375
5,0.2,0.8
7,0,0.75
8,0.125,0.5
10,0.3,0.310344828
6,0.166666667,0.454545455
20,0.1,1.055555556
23,0.086956522,0.372881356
4,0,0.6
7,0.142857143,0.171428571
3,0,0.333333333
4,0,0.6
6,0.166666667,0.238095238
8,0.125,0.205882353
4,0.25,0.166666667
7,0,1.2
6,0,0.217391304
14,0.071428571,0.25
9,0.111111111,0.727272727
23,0.043478261,0.372881356
8,0.25,0.538461538
6,0.166666667,0.238095238
11,0,0.3125
4,0.25,0.1875
8,0.125,0.5
4,0.25,0.2
9,0,0.228571429
5,0,0.571428571
17,0.058823529,0.592592593
20,0,9.5
5,0.2,0.8
27,0.037037037,0.26
8,0.25,0.205882353
8,0.25,0.205882353
58,0.034482759,0.575757576
4,0.25,0.5
7,0.285714286,0.125
3,0.333333333,0.285714286
4,0,0.428571429
4,0.25,0.166666667
11,0,0.238095238
6,0,0.172413793
9,0,0.163265306
10,0.2,0.818181818
5,0,0.307692308
5,0,0.5
4,0,0.375
4,0,1.5
4,0.25,0.25
5,0,0.285714286
4,0,0.428571429
6,0,0.263157895
2,0,0.090909091
45,0.066666667,0.261904762
29,0.068965517,0.35
4,0,0.6
4,0,0.5
8,0.125,0.333333333
4,0.25,0.166666667
14,0,0.333333333
5,0.4,0.16
4,0,0.5
4,0.25,0.6
25,0.08,1.142857143
4,0,0.5
7,0.285714286,0.352941176
4,0,1
4,0.25,0.428571429
17,0,0.347826087
10,0,0.409090909
5,0,0.307692308
5,0.2,0.8
18,0.111111111,0.62962963
4,0.25,1
7,0.142857143,0.260869565
8,0.125,0.538461538
5,0.2,0.8
5,0.2,0.571428571
21,0.047619048,0.377358491
4,0.5,0.375
11,0,2.5
2,0.5,0.25
15,0,2.8
14,0.071428571,0.254901961
7,0,0.206896552
38,0.105263158,0.256944444
4,0,0.5
5,0,0.571428571
3,0,1
6,0.333333333,0.5
19,0,6
8,0.125,0.318181818
4,0.25,0.428571429
8,0,0.538461538
8,0.125,0.28
4,0.25,0.214285714
4,0.25,0.375
4,0,1
4,0.25,0.6
8,0,0.583333333
17,0.058823529,0.842105263
4,0,1.5
2,0.5,0.142857143
5,0,0.571428571
5,0.4,0.111111111
5,0,0.571428571
15,0.066666667,0.179487179
45,0.044444444,0.494382022
8,0.125,0.28
3,0,0.25
3,0,0.05
5,0,0.5
27,0.037037037,0.292134831
17,0,0.666666667
2,0.5,0.142857143
6,0,0.142857143
26,0.038461538,0.280898876
26,0.576923077,1.388888889
37,0.108108108,0.330275229
5,0,0.2
6,0.166666667,0.5
4,0,0.214285714
7,0.142857143,0.545454545
12,0,2.75
35,0.114285714,0.350515464
5,0.2,0.8
7,0,0.068181818
4,0,0.3
3,0,0.25
5,0,0.307692308
5,0.2,0.5
41,0.097560976,0.380952381
13,0.153846154,0.307692308
10,0,0.236842105
5,0.2,0.078431373
4,0,1.5
4,0,0.5
3,0.666666667,0.181818182
2,0.5,0.5
8,0.125,0.538461538
6,0.5,0.833333333
7,0.142857143,0.545454545
7,0,0.75
2,0,0.090909091
44,0.068181818,0.452631579
38,0.052631579,0.397849462
44,0.068181818,0.452631579
47,0.063829787,0.484210526
8,0.125,0.538461538
7,0.285714286,0.545454545
7,0.142857143,1
5,0.2,0.444444444
8,0.375,0.259259259
4,0,0.272727273
21,0,0.327868852
6,0.166666667,0.172413793
36,0.138888889,0.35
40,0.075,0.270833333
59,0.305084746,0.46031746
17,0,0.4
5,0.4,0.8
40,0.1,0.270833333
21,0,0.769230769
4,0.25,0.6
7,0,0.1875
5,0,0.444444444
11,0,0.238095238
4,0,1
3,0.333333333,0.2
5,0.2,0.571428571
6,0.166666667,0.217391304
18,0.055555556,0.62962963
7,0.428571429,0.5
27,0.037037037,0.26
3,0,0.05
3,0.333333333,0.285714286
3,0.666666667,0.5
7,0,0.352941176
33,0.03030303,0.820512821
20,0.05,0.791666667
10,0.4,0.9
6,0.166666667,0.263157895
4,0.25,0.75
5,0,0.307692308
8,0.25,0.466666667
10,0.2,0.272727273
10,0,0.25
35,0.028571429,0.365591398
4,0,1.5
21,0,0.25
15,0,0.318181818
5,0.2,0.307692308
27,0.037037037,0.26
6,0.166666667,0.147058824
34,0.029411765,0.375
4,0,0.230769231
4,0,1.5
12,0.25,0.171875
4,0.25,0.428571429
16,0,0.384615385
8,0,0.212121212
37,0.081081081,0.218181818
7,0.142857143,0.1875
9,0.111111111,0.25
6,0.166666667,0.5
10,0.2,0.642857143
2,0.5,0.25
14,0,1.181818182
3,0,0.153846154
4,0.25,0.333333333
5,0.2,0.444444444
8,0,1
7,0,2
7,0.285714286,0.260869565
4,0.25,0.2
13,0,0.307692308
6,0.333333333,0.555555556
5,0,0.333333333
25,0.08,0.461538462
2,0,0.142857143
4,0,0.428571429
4,0,1.5
5,0.4,0.5
41,0.073170732,0.430107527
7,0.285714286,0.5
4,0,0.75
4,0,0.75
7,0.142857143,0.3
6,0,0.5
4,0,0.428571429
5,0,0.085106383
13,0.153846154,0.25
7,0.142857143,1
10,0.3,0.375
6,0,0.555555556
6,0,0.454545455
7,0,0.5
5,0.4,0.235294118
13,0.153846154,0.16
8,0,0.318181818
4,0,0.230769231
19,0.052631579,0.620689655
4,0.25,0.2
2,0,0.333333333
35,0.114285714,0.333333333
38,0.105263158,0.256944444
8,0,0.636363636
12,0,2.75
7,0.142857143,0.4
7,0,1.5
4,0,1.5
5,0,1
7,0.142857143,0.461538462
3,0.333333333,0.181818182
9,0.111111111,0.205128205
44,0.136363636,0.417475728
8,0.125,0.538461538
16,0.0625,0.340909091
5,0,0.666666667
6,0.5,1
4,0,1.5
10,0.3,0.375
9,0.333333333,0.615384615
8,0.125,0.25
9,0,0.347826087
38,0.105263158,0.256944444
30,0.033333333,0.318681319
29,0.034482759,0.311111111
8,0.125,0.35
7,0.285714286,0.3
9,0.111111111,0.333333333
6,0.166666667,0.217391304
5,0.2,0.8
3,0,0.25
31,0.064516129,0.285714286
5,0.2,0.571428571
3,0,1
3,0,0.333333333
3,0,0.666666667
16,0.125,0.12
3,0.666666667,0.05
6,0.333333333,0.416666667
43,0.11627907,0.40776699
3,0.333333333,0.285714286
15,0.133333333,0.325581395
7,0,0.75
4,0.25,0.375
6,0.166666667,0.625
7,0.142857143,0.206896552
8,0.125,0.225806452
3,0.666666667,0.222222222
15,0.066666667,0.304347826
29,0.034482759,0.29787234
5,0,0.444444444
5,0,0.571428571
10,0.3,0.391304348
44,0.022727273,0.467391304
6,0,0.25
5,0,0.571428571
4,0,0.75
11,0,0.106382979
13,0.076923077,0.3
10,0.4,0.225
4,0,0.142857143
6,0,0.172413793
6,0.166666667,0.454545455
4,0.25,0.6
7,0.142857143,0.5
17,0.058823529,0.64
5,0.2,1.333333333
2,0.5,0.166666667
6,0.5,0.833333333
5,0.2,0.571428571
4,0.25,0.125
4,0.25,0.6
33,0.121212121,0.32
10,0.3,0.375
2,0,0.2
11,0.363636364,0.909090909
24,0.041666667,0.442307692
4,0.25,0.166666667
11,0.181818182,0.3125
3,0,1
42,0.119047619,0.317829457
4,0.25,0.6
3,0,0.666666667
8,0.25,0.538461538
12,0,0.846153846
8,0,0.583333333
4,0,0.230769231
5,0.4,0.571428571
4,0.25,0.6
7,0,0.333333333
7,0,0.176470588
32,0.03125,0.336956522
6,0.333333333,0.454545455
21,0,0.909090909
5,0.2,0.666666667
7,0,0.545454545
3,0.666666667,0.05
8,0,1
11,0.363636364,0.416666667
8,0.125,0.538461538
35,0.085714286,0.34
33,0.121212121,0.299065421
5,0.4,0.5
89,0.056179775,0.448979592
9,0.111111111,0.363636364
72,0.069444444,0.353233831
9,0,1
10,0.1,0.310344828
7,0.285714286,0.230769231
6,0.166666667,0.714285714
4,0.25,0.5
4,0,0.6
5,0,0.266666667
15,0.066666667,0.264150943
8,0,1
40,0.075,0.270833333
2,0.5,0.25
17,0,0.615384615
10,0.2,0.272727273
3,0,1
9,0,0.727272727
2,0.5,0.25
36,0.055555556,0.35
7,0.142857143,0.230769231
41,0.097560976,0.277777778
3,0.666666667,0.2
5,0.4,0.666666667
5,0,0.571428571
15,0.2,0.777777778
8,0.375,0.5
5,0,0.285714286
16,0.25,0.340909091
6,0.166666667,0.714285714
4,0.25,0.2
6,0.166666667,0.5
13,0.307692308,0.375
4,0,0.214285714
4,0,0.230769231
4,0,0.75
40,0.075,0.270833333
5,0,0.307692308
4,0.25,0.5
57,0.333333333,0.444444444
22,0.227272727,0.272727273
6,0.166666667,0.384615385
8,0.375,0.259259259
5,0.2,0.571428571
22,0.272727273,0.276315789
3,0,0.285714286
13,0,0.25
4,0,0.230769231
7,0.142857143,0.5
38,0.105263158,0.256944444
6,0.166666667,1
4,0.5,0.166666667
6,0.166666667,0.555555556
39,0.076923077,0.269503546
4,0.25,0.230769231
9,0.111111111,0.666666667
4,0.25,1.5
5,0,0.444444444
5,0,0.266666667
3,0.666666667,0.5
5,0.4,0.8
34,0.088235294,0.311320755
12,0.083333333,0.189655172
35,0.114285714,0.34
5,0.4,0.19047619
7,0.142857143,0.5
4,0.25,0.428571429
9,0,4
26,0.038461538,0.280898876
5,0,0.1
21,0,0.363636364
7,0.142857143,0.545454545
4,0,0.428571429
11,0.272727273,0.256410256
13,0,0.5
9,0.333333333,0.32
15,0,0.583333333
16,0,0.365853659
6,0.333333333,0.263157895
11,0.090909091,0.192307692
7,0,0.857142857
18,0,0.653846154
26,0.038461538,0.373134328
11,0,0.833333333
9,0.111111111,0.666666667
5,0.2,0.222222222
8,0.125,0.411764706
7,0,3
33,0.090909091,0.32
7,0,0.6
10,0.1,0.18
5,0.2,0.285714286
4,0.25,0.214285714
8,0,0.583333333
8,0.25,0.538461538
6,0.333333333,0.454545455
4,0,0.6
4,0.25,0.428571429
5,0.2,0.285714286
6,0.333333333,0.5
4,0.25,0.214285714
4,0,0.214285714
2,0.5,0.25
40,0.1,0.402061856
7,0.142857143,0.3
12,0,2.75
24,0.291666667,0.522727273
9,0.111111111,0.307692308
7,0.142857143,0.6
16,0.0625,0.6
4,0.25,0.142857143
11,0.363636364,0.212765957
4,0,0.5
5,0.4,0.363636364
6,0.5,0.555555556
10,0.3,0.272727273
7,0.142857143,0.25
4,0,1
28,0.035714286,0.290322581
2,0,0.1
8,0.125,0.636363636
7,0.285714286,0.5
7,0.428571429,0.09375
10,0,2.25
10,0,2.25
10,0,2.25
6,0.166666667,0.833333333
20,0,0.633333333
34,0.058823529,0.203703704
34,0.147058824,0.33
7,0.142857143,0.5
5,0.2,0.666666667
5,0,1
2,0.5,0.166666667
8,0.125,0.28
5,0.2,1
11,0.090909091,0.416666667
33,0.060606061,0.32
4,0.75,0.272727273
5,0,1
6,0.5,0.104166667
4,0.25,0.230769231
3,0.333333333,0.333333333
51,0.098039216,0.294117647
26,0.038461538,0.277777778
4,0,0.214285714
3,0,1
12,0,3.666666667
7,0.142857143,0.285714286
7,0.142857143,0.4
10,0.1,0.5625
5,0,0.571428571
23,0.086956522,0.20952381
4,0,0.272727273
4,0.25,0.166666667
4,0,0.5
4,0,0.5
3,0,0.2
2,0.5,0.071428571
40,0.075,0.270833333
5,0,0.307692308
18,0.111111111,0.62962963
8,0,0.875
8,0.125,0.205882353
6,0.166666667,0.454545455
20,0.1,0.175925926
2,0.5,0.5
34,0.058823529,0.375
6,0.166666667,0.384615385
27,0.222222222,0.320987654
7,0.142857143,0.352941176
6,0,1
12,0.166666667,0.183333333
4,0,0.2
7,0.285714286,0.5
8,0,0.583333333
4,0.25,1.5
